Section,Task,Responsible,Deadline
STRATEGY & PLANNING,Define Inner Sanctum theme/angle,Martin Potter + Raquel Caron,July 4
STRATEGY & PLANNING,Build prospect/partner target list (clients + potential speakers),Manasseh Edward,July 7
STRATEGY & PLANNING,Identify potential Inner Sanctum speakers (long list),Manasseh Edward + Martin Potter,July 11
CONTENT PREP & CASE STUDY,Define study case scope + BigQuery learning session,Luis + Aman,July 7
CONTENT PREP & CASE STUDY,Case study development kickoff,Luis + Aman + Martin Potter,July 14
CONTENT PREP & CASE STUDY,Case study first draft,Luis + Aman,July 28
CONTENT PREP & CASE STUDY,Case study review + feedback,Martin Potter + Raquel Caron,Aug 4
CONTENT PREP & CASE STUDY,Case study refined draft,Luis + Aman,Aug 18
CONTENT PREP & CASE STUDY,Case study final version locked,Martin Potter + Raquel Caron,Sep 5
OUTREACH — SPEAKERS,Draft speaker invitation messages (email + LinkedIn),Manasseh Edward + Raquel Caron,July 18
OUTREACH — SPEAKERS,First wave speaker outreach (cold),Manasseh Edward,July 21
OUTREACH — SPEAKERS,Follow-up on speaker outreach,Manasseh Edward,Aug 4
OUTREACH — SPEAKERS,Confirm Inner Sanctum speakers (shortlist locked),Martin Potter,Aug 18
APP & LOGISTICS,App and conference reservations,Raquel Caron + Manasseh Edward,Aug 1
APP & LOGISTICS,Order cookies / branded swag,Serena Trinh,Sep 5
REHEARSALS,First rehearsal — Inner Sanctum run-through,Mike + Kirstie + Pete + Megan + Garret,Sep 12
REHEARSALS,Rehearsal debrief + brand alignment,Megan + Garret + Raquel Caron,Sep 15
REHEARSALS,Second rehearsal — content + flow refinement,Mike + Kirstie + Pete + Megan + Garret,Sep 26
REHEARSALS,Confirm Inner Sanctum run-of-show + speaker briefing docs,Martin Potter + Raquel Caron,Sep 26
REHEARSALS,Final rehearsal — dress run,Mike + Kirstie + Pete + Megan + Garret,Oct 10
REHEARSALS,Final brand + messaging sign-off,Megan + Garret,Oct 13
PROSPECT OUTREACH,Identify potential clients on app,Manasseh Edward,Sep 19
PROSPECT OUTREACH,Create on-the-ground prospect list for Kirstie,Manasseh Edward + Martin Potter,Oct 9
PROSPECT OUTREACH,Final cold outreach emails/LinkedIn messages (Kirstie review),Manasseh Edward + Raquel Caron,Oct 12
SOCIAL & CONTENT,Draft pre-event LinkedIn posts,Serena Trinh,Oct 9
SOCIAL & CONTENT,Review/approve pre-event posts,Raquel Caron + Megan,Oct 13
SOCIAL & CONTENT,Publish pre-event posts,Serena Trinh,Oct 14
AT EVENT,Send WhatsApp messages on the ground,Raquel Caron,Oct 21-24
POST-EVENT,Day-by-day social highlights (3 days),Raquel Caron,Oct 22-24
POST-EVENT,Overall event recap post,Serena Trinh + Raquel Caron,Oct 28
POST-EVENT,Post-event follow-up outreach,Manasseh Edward,Oct 28
